GloboLakes_ID,LakeName,Latitude,Longitude,Country,Type,Elevation,LakeSize,Group,OverallAvg,OverallMeanAmp,misclassified
187,"ORIVESI, PYHÄSELKÄ",62.35,29.59,Finland,Lake,79,72,5,5.702484738,19.39634814,FALSE
192,ILMEN,58.3,31.3,Russia,Reservoir,15,90,5,7.228311471,21.9681829,FALSE
193,GORKY Reservoir,57.11,43.13,Russia,Reservoir,87,61,5,7.332351298,23.57523751,FALSE
194,"SALTON, Sea",33.3,-115.83,United States,Lake,-74,45,2,23.16670038,16.86618428,FALSE
195,PIELINEN,63.16,29.71,Finland,Lake,113,73,5,4.82394893,19.00912765,FALSE
198,NIPISSING,46.24,-79.92,Canada,Lake,212,44,9,8.32659559,22.63955324,FALSE
200,ABITIBI,48.76,-79.59,Canada,Reservoir,276,65,5,6.521909019,21.5628166,FALSE
201,FORT PECK Lake,47.68,-107.29,United States,Reservoir,693,47,9,8.257120404,20.9970009,FALSE
202,OULUJÄRVI,64.35,27.7,Finland,Reservoir,128,80,5,5.054917241,19.3109723,FALSE
205,de BAY,14.36,121.26,Philippines,Lake,12,42,3,29.41953921,4.84905203,FALSE
209,LLANQUIHUE Lake,-41.14,-72.79,Chile,Lake,56,44,8,13.54263217,6.187348404,FALSE
210,ALEXANDRINA,-35.52,139.09,Australia,Lagoon,20,38,8,16.3252724,10.74180639,FALSE
213,PLAYGREEN Lake,54.07,-97.75,Canada,Lake,217,65,5,5.53473269,19.29133859,FALSE
215,TANGRA YUMCO,31.05,86.59,China,Lake,4649,36,4,5.196851984,12.98386893,FALSE
219,COLHUÉ HUAPI,-45.47,-68.76,Argentina,Lake,251,50,7,8.41647636,17.88056116,FALSE
220,"EZEQUIEL RAMOS MEJÍA, Embalse",-39.46,-69.01,Argentina,Reservoir,393,40,8,13.52145396,12.21546721,FALSE
222,PETER POND Lake,55.84,-108.55,Canada,Lake,423,58,5,5.475182821,19.18889593,FALSE
225,SOUTH MOOSE Lake,53.83,-100.04,Canada,Lake,256,47,5,5.820731665,20.30044948,FALSE
228,SEGOZERSKOYE,63.32,33.76,Russia,Lake,129,63,4,4.768162124,16.71571349,FALSE
231,MANGUEIRA,-33.16,-52.84,Brazil,Lagoon,8,48,8,18.54139843,12.16370596,FALSE
233,CHAOHU Lake,31.57,117.57,China,Lake,1,41,1,18.0671124,26.03259516,FALSE
236,SIMCOE,44.47,-79.42,Canada,Lake,233,36,9,9.140600818,22.51677082,FALSE
237,VOTKINSK Reservoir,57.22,55.01,Russia,Reservoir,94,62,5,6.889864362,23.25693068,FALSE
239,ULUNGUR Lake,47.22,87.3,China,Lake,452,51,9,8.41831551,22.87462047,FALSE
240,PYASINO,69.77,87.78,Russia,Lake,17,90,4,1.800765472,15.2404249,FALSE
241,SARYGAMYSH Lake,41.88,57.61,Turkmenistan,Lake,-12,182,1,13.40179889,26.98512634,TRUE
242,KOVDOZERO,66.68,31.99,Russia,Reservoir,40,49,4,3.996666614,16.89881042,FALSE
243,TOLEDO BEND Reservoir,31.55,-93.81,United States,Reservoir,48,34,2,21.24194163,19.65705304,FALSE
244,"DEAD, Sea",31.52,35.49,Jordan; West Bank;  Israel,Lake,-404,27,3,27.20487327,11.32961636,FALSE
245,IZABAL,15.57,-89.11,Guatemala,Lagoon,47,27,3,28.6246076,4.718923511,FALSE
249,HIRAKUD Reservoir,21.64,83.77,India,Reservoir,190,24,3,27.80446685,8.995223046,FALSE
250,PROLETARSKOYE,46.26,42.98,Russia,Lake,15,30,9,11.47439138,25.74562103,FALSE
255,TUMBA,-0.82,17.98,DR Congo,Lake,338,30,3,29.89346202,2.863043851,FALSE
256,CHILWA,-15.32,35.71,Malawi,Lake,629,40,6,24.92172306,8.04583846,FALSE
262,KULUNDINSKOYE,52.98,79.58,Russia,Lake,92,39,5,6.969073819,23.89203492,FALSE
265,CAXIUANA,-2.04,-51.5,Brazil,Lake,1,17,3,30.23219609,0.803057089,FALSE
267,BEYSEHIR,37.78,31.52,Turkey,Lake,1148,32,1,13.70693973,22.06850155,FALSE
268,BIWA Lake,35.25,136.08,Japan,Lake,69,33,1,16.94098279,19.62198721,FALSE
271,SELETYTENIZ,53.23,73.18,Kazakhstan,Lake,66,35,9,7.708020448,24.65743364,FALSE
273,PYAOZERO,66.07,30.98,Russia,Lake,118,80,4,3.913772313,15.94598349,FALSE
277,de COARI,-4.25,-63.37,Brazil,Lake,40,32,3,30.92617663,2.011308527,FALSE
279,AL ASSAD Lake,36.07,38.1,Syria,Reservoir,293,32,1,18.74877266,16.16505744,FALSE
281,DORÉ Lake,54.76,-107.28,Canada,Lake,459,42,5,5.675538626,19.53273929,FALSE
287,GAOYOU Lake,32.87,119.31,China,Lake,1,37,1,16.40377427,27.25928554,FALSE
291,BEI'ER Lake,47.81,117.69,Mongolia; China,Lake,597,36,5,6.930970885,23.36508568,FALSE
294,KHAR Lake,48.05,93.21,Mongolia,Lake,1160,32,5,7.317822452,22.82040183,FALSE
295,TAUPO,-38.81,175.9,New Zealand,Lake,395,29,8,14.74126748,8.50961557,FALSE
296,SHARDARA Reservoir,41.15,68.17,Kazakhstan; Uzbekistan,Reservoir,236,42,1,15.08029164,25.4096715,FALSE
299,BUFFALO Lake,60.22,-115.49,Canada,Lake,264,47,5,4.416636403,19.74284355,FALSE
300,ELING/NGORING Lake,34.93,97.71,China,Lake,4240,31,4,4.12046457,12.72090049,FALSE
301,CROSS Lake,54.99,-97.81,Canada,Reservoir,187,41,5,5.187880345,19.45403486,FALSE
302,HALA Lake,38.31,97.59,China,Lake,4239,29,4,2.867323293,11.32136607,FALSE
303,NORTH MOOSE Lake,54.05,-100.16,Canada,Lake,257,46,5,5.692445306,20.66523623,FALSE
304,FAGNANO/CAMI Lake,-54.55,-68.03,Argentina; Chile,Lake,169,50,7,6.818447048,5.099628983,FALSE
306,LAGDO,8.88,13.97,Cameroon,Reservoir,209,27,3,28.39757437,3.50162537,FALSE
310,BALATON,46.88,17.83,Hungary,Lake,126,41,9,11.68225999,24.53433804,FALSE
311,ATLIN Lake,59.57,-133.75,Canada,Lake,704,53,4,2.982667598,12.08922333,FALSE
312,AYAKKUM Lake,37.55,89.35,China,Lake,4161,35,5,4.73124259,13.88947521,TRUE
314,UPEMBA,-8.65,26.4,DR Congo,Lake,586,27,3,27.3487464,4.286946601,FALSE
316,TATHLINA Lake,60.54,-117.64,Canada,Lake,277,46,5,4.504577795,19.5281697,FALSE
322,NATRON,-2.34,36.02,Tanzania; Kenya,Lake,583,32,3,30.98377196,3.931908696,FALSE
323,CHURCHILL Lake,55.96,-108.29,Canada,Lake,423,34,5,5.482298545,19.63206418,FALSE
325,KWANIA,1.72,32.65,Uganda,Lake,1043,25,3,26.71715384,1.360425236,FALSE
326,DESCHAMBAULT Lake,54.78,-103.45,Canada,Lake,329,31,5,5.797657029,20.06352238,FALSE
327,Geneva/Léman,46.37,6.25,Switzerland; France,Lake,466,32,1,13.37486761,15.84935759,FALSE
328,MINGACEVIR Reservoir,40.93,46.79,Azerbaijan,Reservoir,78,31,1,16.76775091,19.66144111,FALSE
332,TOWUTI,-2.79,121.52,Indonesia,Lake,230,23,3,29.67832566,1.65133908,FALSE
333,BLACK Lake,59.05,-105.73,Canada,Lake,277,33,4,4.094222136,16.68136248,FALSE
336,GYARING/ZHALING Lake,34.92,97.27,China,Lake,4256,24,4,4.348739452,13.1856304,FALSE
