"","GloboLakes_ID","LakeName","Latitude","Longitude","Country","Type","Elevation","LakeSize","Group","OverallAvg","OverallMeanAmp"
"630",2239,"URYUM",54.55,78.49,"Russia","Lake",107,9,5,6.76132176983189,25.7039214327536
"631",2243,"PARU",-1.9,-55.81,"Brazil","Lake",13,25,3,29.9398452068694,1.02125476521258
"632",2263,"KAZAN Lake",55.55,-108.33,"Canada","Lake",443,6,5,5.93054299328209,21.2590652863531
"633",2264,"KURILSKOYE",51.46,157.1,"Russia","Lake",150,4,4,3.56519359222648,11.2176995404493
"634",2271,"KINKONY",-16.16,45.8,"Madagascar","Lake",63,6,3,28.2125895437884,6.44141712796202
"635",2273,"CHONDUYA",68.58,152.3,"Russia","Lake",29,14,4,2.61545654218227,16.9821713141931
"636",2276,"KOTCHO Lake",59.08,-121.13,"Canada","Lake",620,8,5,4.83875429520664,19.892900448374
"637",2280,"IBERÁ WETLANDS",-28.07,-56.79,"Argentina","Lake",54,4,6,21.6679682439297,13.1430912072166
"638",2285,"EBEYTY",54.65,71.73,"Russia","Lake",114,7,9,7.79151865570222,24.3487058331582
"639",2313,"IHEMA",-1.89,30.77,"Rwanda","Lake",1355,4,6,25.5692974761503,2.76242030736796
"640",2314,"KHUKH Lake",49.52,115.58,"Mongolia","Lake",568,8,5,6.40134603487146,23.1536497308094
"641",2317,"CHIEMSEE",47.88,12.44,"Germany","Lake",526,6,9,10.7426086320096,22.2308423909887
"642",2323,"PEERLESS Lake",56.63,-114.66,"Canada","Lake",689,8,5,5.53865435012464,18.8629337171872
"643",2326,"CHIP Lake",53.65,-115.38,"Canada","Lake",793,8,5,5.80242866431841,23.4950329483945
"644",2330,"HARGRAVE Lake",54.47,-99.68,"Canada","Lake",267,8,5,5.52626089794578,21.9806686570708
"645",2331,"ANDREEVSKOYE",58.92,66.9,"Russia","Lake",50,8,5,5.85333239949012,24.6066589720294
"646",2335,"BIRCH Lake",64.36,-121.96,"Canada","Lake",163,8,4,3.83058721310294,19.0197125753007
"647",2336,"NORRA DELLEN",61.87,16.71,"Sweden","Lake",52,10,5,6.3780143735752,19.8850438640122
"648",2345,"HOUGHTON Lake",44.34,-84.71,"United States","Lake",347,5,9,9.37907397647291,23.8706778912503
"649",2358,"GLAN",58.64,15.98,"Sweden","Lake",29,6,9,8.75451714553315,22.2807272621497
"650",2365,"HAWIZEH MARSHES",31.6,47.63,"Iraq","Lake",7,5,2,22.5907919725582,18.5206569855951
"651",2395,"CADDABASSA",10.21,40.5,"Ethiopia","Reservoir",562,6,3,28.2532934754339,4.26734329807475
"652",2408,"ZZZZ",45.21,33.51,"Ukraine","Lagoon",3,6,9,12.7754272264609,27.1114611344653
"653",2418,"TURTLE Lake",53.61,-108.61,"Canada","Lake",663,6,5,5.03312584608194,18.4052679671935
"654",2420,"WATERHEN Lake",54.48,-108.46,"Canada","Lake",482,6,5,6.00050863471916,21.9676891286638
"655",2421,"CHITEK Lake",52.42,-99.41,"Canada","Lake",262,7,5,6.83227242274894,22.7119903300596
"656",2425,"NARAC",54.86,26.77,"Belarus","Lake",175,7,9,7.85299231137398,21.9652610408804
"657",2436,"WEYAKWIN Lake",54.48,-105.97,"Canada","Lake",606,6,5,5.76791486504429,20.3202660241174
"658",2447,"MARGARET Lake",58.96,-115.41,"Canada","Lake",823,4,4,3.27791752226656,14.3982618651798
"659",2470,"RICHARDSON Lake",58.39,-111.08,"Canada","Lake",213,6,5,6.39715792241882,22.7518835664489
"660",2473,"STORSJÖN",60.57,16.75,"Sweden","Lake",50,6,5,6.98459701358098,21.6726987177669
"661",2477,"WELLESLEY Lake",62.35,-139.82,"Canada","Lake",585,7,4,4.01373574083218,17.2366477708845
"662",2484,"CATEMACO",18.4,-95.04,"Mexico","Lake",353,5,3,27.0000053980842,7.16409145646277
"663",2485,"ZZZZ",67.39,-125.95,"Canada","Lake",301,14,4,2.70922333205072,15.5765051954271
"664",2497,"LEUSHINSKIY TUMAN",59.7,65.71,"Russia","Lake",38,7,5,5.36765429698396,23.7434756329667
"665",2507,"ZZZZ",50.14,68.39,"Kazakhstan","Lake",324,5,9,8.25317555095374,25.218798786106
"666",2518,"ZZZZ",-51.9,-72.33,"Chile","Lagoon",21,8,7,6.43621083903515,13.0019710885542
"667",2528,"CHUKOCHYE",69.39,160.18,"Russia","Lake",2,7,4,2.13279237820267,17.8568000786398
"668",2544,"LENORE Lake",52.5,-104.97,"Canada","Lake",532,7,5,6.40241144001589,22.185993876577
"669",2550,"ZZZZ",9.72,-74.71,"Colombia","Lake",10,6,3,31.3389201255301,2.15971303682002
"670",2554,"LEBSKO Lake",54.71,17.41,"Poland","Lagoon",3,9,9,9.38831823823516,22.3787151987719
"671",2559,"LA GAIBA Lake",-17.75,-57.73,"Bolivia; Brazil","Lake",107,7,3,28.1220326179237,7.43516701722593
"672",2594,"JACKFISH Lake",53.07,-108.4,"Canada","Lake",531,6,5,6.31623259614624,21.4657984667651
"673",2595,"WASKESIU Lake",53.96,-106.25,"Canada","Lake",527,5,5,6.25569719141305,20.5074544111686
"674",2616,"HARRIS",28.76,-81.81,"United States","Lake",21,7,2,24.0724479943664,14.8136780674456
"675",2627,"IK",56.05,71.55,"Russia","Lake",102,7,5,6.58304694394457,23.2797103454618
"676",2655,"TETLIN Lake",63.1,-142.77,"United States","Lake",549,7,5,4.15157560195167,18.9604380892017
"677",2673,"WHITEMOUTH Lake",49.24,-95.68,"Canada","Lake",348,6,5,7.64122407869453,24.6634794808472
"678",2693,"ILOPANGO, Lago de",13.67,-89.05,"El Salvador","Lake",535,4,3,28.4350446691466,3.84635144993987
"679",2695,"RUZHNIKOVA",67.86,155.89,"Russia","Lake",13,9,4,2.70196168225233,16.790334119935
"680",2709,"ARSENAULT Lake",55.1,-108.51,"Canada","Lake",473,6,5,6.27108611781479,21.2668625080844
"681",2725,"ZZZZ",51.86,140.53,"Russia","Lake",15,6,5,5.58258005188085,21.4346218165043
"682",2731,"MURIEL Lake",54.15,-110.69,"Canada","Lake",563,5,5,6.42955518213077,21.9416253212435
"683",2750,"SUTURUAKA",69.15,145.4,"Russia","Lake",57,12,4,2.23272203525072,18.7045659072571
"684",2762,"CORONDA",-32.08,-60.87,"Argentina","Lake",16,40,8,20.012790039676,13.2432473319291
"685",2799,"PHELPS Lake",35.77,-76.47,"United States","Lake",3,5,1,17.4702176348049,22.114373250474
"686",2898,"GRENADA Lake",33.86,-89.72,"United States","Lake",71,5,2,20.5379478722961,20.6324792913298
"687",2926,"ORON",54.83,112.25,"Russia","Lake",1181,4,4,3.16265080767722,16.9436384579688
"688",2927,"VARANO, Lago di",41.88,15.74,"Italy","Lagoon",0,6,1,18.3641263415467,17.1500149177811
"689",2940,"TUMAN",59.63,66.34,"Russia","Lake",25,6,5,5.56782202587618,25.7216401766272
"690",2944,"REDBERRY Lake",52.68,-107.15,"Canada","Lake",519,6,5,6.36949874608654,20.9207284440522
"691",2955,"UVILDY",55.54,60.5,"Russia","Lake",275,6,5,6.29270229406105,22.2997345452249
"692",2960,"ZZZZ",67.98,-132.93,"Canada","Lake",208,11,4,2.83229002930382,18.4621277313288
"693",2961,"KURCHANSKIY",45.28,37.5,"Russia","Lagoon",3,4,9,12.6561494955292,27.3660832850251
"694",2974,"KELSEY Lake",53.64,-101.04,"Canada","Lake",258,5,5,5.41694319747347,21.7961753087278
"695",2978,"BURT Lake",45.47,-84.67,"United States","Lake",186,5,9,9.11671884461486,24.0649673420638
"696",2988,"ALLEMANDS, Lac des",29.92,-90.57,"United States","Lake",0,4,2,22.8737822412846,19.2756802803817
"697",3002,"ZZZZ",68.95,-133.66,"Canada","Lake",48,8,4,2.62062728345115,16.913711437249
"698",3007,"CIENAGA DE AYAPEL",8.36,-75.07,"Colombia","Lake",29,4,3,31.7594765054521,2.35695688444756
"699",3040,"ZZZZ",52.87,-99.37,"Canada","Lake",264,7,5,6.60444672734316,22.1021928264934
"700",3079,"GARSON Lake",56.32,-110.03,"Canada","Lake",469,6,5,5.57143522809661,20.855229302945
"701",3097,"VYSHNEVOLOTSKOYE",57.57,34.45,"Russia","Lake",153,6,5,6.39074714417581,22.4557981336169
"702",3129,"ROREY Lake",66.89,-128.43,"Canada","Lake",98,10,4,1.63846504642467,13.0764601077792
"703",3133,"KILEKALE Lake",66.66,-123.98,"Canada","Lake",304,12,4,2.72479607048668,17.2898264833478
"704",3135,"WUSKWATIM Lake",55.55,-98.55,"Canada","Lake",231,5,5,5.34939706739958,20.5172364248082
